summary,experience,skills,labels,education
Automation specialist focusing on industrial robotics and motion control systems.,Automation Specialist AutoPro Ltd. (6 years) Robotics Engineer TechMotion (3 years),Industrial Robotics Motion Control Automation Systems,"['Technical group', 'Automation', 'Robotics']",BSc in Mechatronics Engineering Istanbul Technical University
Renewable energy engineer focusing on solar panel design and power grid integration.,Renewable Energy Engineer EcoPower Ltd. (6 years) Solar Panel Specialist GreenTech (3 years),Solar Panel Design Grid Integration Renewable Energy Systems,"['Technical group', 'Renewable energy', 'Solar panels']",BSc in Electrical Engineering Middle East Technical University
Wealth advisor focusing on portfolio management and high-net-worth clients.,Wealth Advisor WealthPro Ltd. (6 years) Investment Analyst CapitalGrowth (3 years),Portfolio Management Client Advising Risk Assessment,"['Finance and banking group', 'Wealth advising', 'Portfolio management']",MBA in Finance Koç University
Financial risk manager specializing in credit risk and market fluctuations.,Risk Manager SecureFinance Ltd. (5 years) Risk Analyst MarketInsights (3 years),Credit Risk Market Analysis Compliance,"['Finance and banking group', 'Risk management', 'Market analysis']",BSc in Economics Marmara University
Civil engineer specializing in water resource management and infrastructure projects.,Civil Engineer HydroBuild Ltd. (6 years) Infrastructure Specialist EcoStructures (3 years),Water Resource Management Infrastructure Planning Environmental Compliance,"['Field group', 'Civil engineering', 'Water resources']",BSc in Civil Engineering Boğaziçi University
Environmental consultant focusing on industrial waste management and sustainability practices.,Environmental Consultant EcoSolutions Ltd. (5 years) Waste Management Specialist GreenTech (3 years),Industrial Waste Management Sustainability Practices Compliance Auditing,"['Field group', 'Environmental consulting', 'Sustainability']",BSc in Environmental Science Ege University
B2B sales manager specializing in enterprise software solutions and client onboarding.,Sales Manager TechSolutions Ltd. (6 years) Client Onboarding Specialist BizGrowth (3 years),Enterprise Sales Client Onboarding Lead Management,"['Sales group', 'B2B sales', 'Enterprise software']",BBA in Marketing Marmara University
Retail sales specialist focusing on e-commerce strategies and customer experience.,E-commerce Sales Specialist StyleHub Ltd. (5 years) Customer Experience Officer FashionPoint (3 years),E-commerce Strategies Customer Experience Sales Analytics,"['Sales group', 'E-commerce', 'Customer engagement']",Diploma in Business Administration Ege University
Event manager specializing in international conferences and exhibition planning.,Event Manager GlobalEvents Ltd. (6 years) Exhibition Planner ExpoWorld (3 years),Conference Planning Vendor Coordination International Events,"['Hospitality group', 'Event planning', 'International conferences']",Diploma in Event Management Akdeniz University
Travel agent specializing in personalized itineraries and luxury travel packages.,Travel Agent WorldAdventures Ltd. (5 years) Customer Relations Specialist LuxuryTravel (3 years),Luxury Travel Customer Relations Personalized Itineraries,"['Hospitality group', 'Travel agency', 'Luxury travel']",Diploma in Tourism Management Ege University
Logistics planner focusing on freight management and vendor negotiations.,Logistics Planner GlobalSupply Ltd. (6 years) Vendor Coordinator SmartChain (3 years),Freight Management Vendor Negotiations Supply Chain Coordination,"['Industrial management group', 'Logistics', 'Freight management']",BBA in Logistics Marmara University
Operations coordinator specializing in workflow optimization and process analysis.,Operations Coordinator EfficientOps Ltd. (5 years) Process Analyst LeanFlow (3 years),Workflow Optimization Process Analysis Team Leadership,"['Industrial management group', 'Operations coordination', 'Process optimization']",BSc in Industrial Engineering Middle East Technical University
Sales executive specializing in FMCG products and strategic account management.,Sales Executive FastGoods Ltd. (5 years) Key Account Manager RetailPro (3 years),Strategic Accounts FMCG Sales Market Penetration,"['Sales group', 'FMCG', 'Account management']",BBA in Marketing Boğaziçi University
Business development officer specializing in partnership acquisition and revenue growth.,Business Development Officer BizExpand Ltd. (6 years) Partnership Specialist GrowthPros (3 years),Partnership Acquisition Revenue Growth Sales Strategy,"['Sales group', 'Business development', 'Revenue growth']",BBA in Business Administration Koç University
Administrative coordinator focusing on data management and operational workflows.,Administrative Coordinator OfficeFlow Ltd. (5 years) Data Specialist BizOps (3 years),Operational Workflows Data Management Document Coordination,"['Back-office group', 'Administration', 'Workflow management']",Diploma in Business Administration Anadolu University
HR specialist focusing on talent acquisition and onboarding processes.,HR Specialist PeopleHub Ltd. (6 years) Onboarding Coordinator TalentCare (3 years),Talent Acquisition Employee Onboarding Recruitment Strategy,"['Back-office group', 'HR', 'Talent acquisition']",BBA in Human Resources Marmara University
Marketing analyst focusing on campaign performance tracking and competitor analysis.,Marketing Analyst AdSphere Ltd. (5 years) Campaign Strategist MarketEdge (3 years),Performance Tracking Competitor Analysis SEO Strategies,"['Media and marketing group', 'Marketing analysis', 'Campaign strategy']",BSc in Marketing Boğaziçi University
Digital advertising manager specializing in programmatic campaigns and ROI optimization.,Advertising Manager DigitalPro Ltd. (6 years) Media Planner AdWave (3 years),Programmatic Campaigns ROI Optimization Media Planning,"['Media and marketing group', 'Digital advertising', 'Programmatic campaigns']",BBA in Marketing Koç University
Software engineer focusing on cloud-based architecture and microservices development.,Software Engineer CloudDev Ltd. (6 years) Backend Developer TechSolutions (3 years),Microservices Development Cloud Computing API Design,"['Technical group', 'Software engineering', 'Cloud architecture']",BSc in Computer Science Middle East Technical University
Data scientist specializing in machine learning algorithms and big data analysis.,Data Scientist DataInsight Ltd. (5 years) Machine Learning Engineer AIPro (3 years),Machine Learning Big Data Predictive Modeling,"['Technical group', 'Data science', 'Machine learning']",MSc in Data Science Boğaziçi University
Office manager specializing in workflow coordination and administrative support.,Office Manager BizAdmin Ltd. (6 years) Document Specialist OfficeFlow (3 years),Workflow Coordination Administrative Support Document Management,"['Back-office group', 'Office management', 'Workflow coordination']",Diploma in Business Administration Anadolu University
HR assistant specializing in payroll processing and compliance management.,HR Assistant PeopleFirst Ltd. (5 years) Payroll Coordinator TalentHub (3 years),Payroll Processing Compliance Management Employee Support,"['Back-office group', 'HR', 'Payroll processing']",Diploma in Human Resources Marmara University
Content strategist focusing on digital storytelling and audience retention.,Content Strategist DigitalWave Ltd. (6 years) SEO Specialist AdSphere (3 years),Digital Storytelling Audience Retention SEO Optimization,"['Media and marketing group', 'Content strategy', 'Digital storytelling']",BSc in Communication Boğaziçi University
Social media marketer focusing on influencer partnerships and engagement analytics.,Social Media Marketer AdWave Ltd. (5 years) Engagement Specialist MarketEdge (3 years),Influencer Marketing Engagement Analytics Content Creation,"['Media and marketing group', 'Social media marketing', 'Influencer partnerships']",BSc in Marketing Ege University
Supply chain analyst specializing in inventory optimization and demand forecasting.,Supply Chain Analyst SmartChain Ltd. (6 years) Inventory Manager GlobalSupply (3 years),Inventory Optimization Demand Forecasting Vendor Negotiations,"['Industrial management group', 'Supply chain', 'Inventory management']",BBA in Logistics Koç University
Operations analyst specializing in production scheduling and lean strategies.,Operations Analyst LeanOps Ltd. (5 years) Production Planner EcoManuf (3 years),Production Scheduling Lean Strategies Workflow Optimization,"['Industrial management group', 'Operations analysis', 'Lean strategies']",BSc in Industrial Engineering Middle East Technical University
Electrical engineer focusing on renewable energy integration and smart systems.,Electrical Engineer EcoGrid Ltd. (5 years) Power Systems Specialist RenewTech (3 years),Renewable Energy Smart Systems Power Distribution,"['Technical group', 'Electrical engineering', 'Smart systems']",BSc in Electrical Engineering Yıldız Technical University
Data analyst specializing in predictive modeling and statistical analysis.,Data Analyst DataInsight Ltd. (5 years) Machine Learning Specialist AIPro (3 years),Predictive Modeling Statistical Analysis Big Data,"['Technical group', 'Data analysis', 'Predictive modeling']",MSc in Data Science Boğaziçi University
Mechanical engineer specializing in robotics and autonomous systems.,Mechanical Engineer RoboTech Ltd. (6 years) Autonomous Systems Developer AutoPro (3 years),Robotics Design Automation Systems Mechanical Prototyping,"['Technical group', 'Mechanical engineering', 'Robotics']",BSc in Mechanical Engineering Istanbul Technical University
Software developer specializing in artificial intelligence and natural language processing.,AI Developer AI Solutions Ltd. (5 years) NLP Specialist LanguageTech (3 years),Artificial Intelligence Natural Language Processing Deep Learning,"['Technical group', 'AI development', 'NLP']",MSc in Computer Science Boğaziçi University
DevOps engineer focusing on CI/CD pipelines and cloud infrastructure management.,DevOps Engineer CloudWorks Ltd. (6 years) Infrastructure Specialist TechOps (3 years),CI/CD Pipelines Cloud Infrastructure Containerization,"['IT group', 'DevOps', 'Cloud computing']",BSc in Computer Science Middle East Technical University
Full-stack developer specializing in JavaScript frameworks and API integration.,Full-stack Developer CodeFlow Ltd. (5 years) Frontend Developer WebPro (3 years),JavaScript Frameworks REST API Development React,"['IT group', 'Full-stack development', 'API integration']",BSc in Software Engineering Hacettepe University
Pharmaceutical scientist specializing in drug discovery and development.,Pharmaceutical Scientist PharmaTech Ltd. (6 years) Clinical Researcher HealthPro (3 years),Drug Discovery Clinical Trials Biotechnology,"['Medical group', 'Pharmaceutical research', 'Drug discovery']",MSc in Pharmaceutical Sciences Hacettepe University
Registered nurse specializing in surgical assistance and patient recovery.,Surgical Nurse City Hospital (6 years) Patient Care Coordinator HealthFirst (3 years),Surgical Assistance Post-operative Care Patient Recovery,"['Medical group', 'Nursing', 'Surgical assistance']",BSc in Nursing Ege University
Financial consultant specializing in corporate restructuring and M&A advisory.,Financial Consultant AdvisoryPro Ltd. (6 years) M&A Analyst GlobalFinance (3 years),Corporate Restructuring Mergers & Acquisitions Financial Modeling,"['Finance and banking group', 'Corporate finance', 'M&A advisory']",MBA in Finance Koç University
Risk management specialist focusing on credit and market risk analysis.,Risk Management Specialist BankTrust Ltd. (5 years) Market Risk Analyst SecureFinance (3 years),Credit Risk Analysis Market Risk Management Compliance,"['Finance and banking group', 'Risk management', 'Credit risk']",BSc in Economics Marmara University
Environmental engineer specializing in water treatment and pollution control.,Water Treatment Engineer EcoSolutions Ltd. (6 years) Pollution Control Specialist GreenPro (3 years),Water Treatment Pollution Control Sustainability,"['Field group', 'Environmental engineering', 'Water treatment']",BSc in Environmental Engineering Boğaziçi University
Agricultural consultant focusing on sustainable farming and irrigation systems.,Agricultural Consultant AgroTech Ltd. (5 years) Irrigation Specialist GreenFarm (3 years),Sustainable Farming Irrigation Systems Soil Analysis,"['Field group', 'Agriculture', 'Sustainable farming']",BSc in Agricultural Engineering Ege University
Cybersecurity engineer specializing in penetration testing and system hardening.,Cybersecurity Engineer SecureNet Ltd. (6 years) Penetration Tester TechDefense (3 years),Penetration Testing System Hardening Network Security,"['IT group', 'Cybersecurity', 'Penetration testing']",BSc in Computer Science Middle East Technical University
AI developer specializing in machine learning frameworks and computer vision.,AI Developer AI Solutions Ltd. (5 years) Computer Vision Specialist VisionTech (3 years),Machine Learning Computer Vision Deep Learning,"['IT group', 'AI development', 'Computer vision']",MSc in Computer Science Boğaziçi University
Radiologist specializing in imaging technologies and diagnostic procedures.,Radiologist City Hospital (6 years) Imaging Specialist HealthScan (3 years),Imaging Technologies Diagnostic Procedures Patient Care,"['Medical group', 'Radiology', 'Diagnostic imaging']",MSc in Radiology Hacettepe University
Clinical dietitian specializing in personalized nutrition plans and dietary assessments.,Clinical Dietitian HealthPro Ltd. (5 years) Nutritionist WellnessFirst (3 years),Personalized Nutrition Dietary Assessments Nutritional Counseling,"['Medical group', 'Dietitian', 'Personalized nutrition']",BSc in Nutrition and Dietetics Ege University
Administrative officer specializing in resource allocation and office logistics.,Administrative Officer BizAdmin Ltd. (6 years) Resource Coordinator OfficeFlow (3 years),Resource Allocation Logistics Coordination Office Support,"['Back-office group', 'Office management', 'Logistics']",Diploma in Office Management Marmara University
HR assistant specializing in employee relations and training program coordination.,HR Assistant PeopleCare Ltd. (6 years) Training Coordinator TalentHub (3 years),Employee Relations Training Coordination HR Compliance,"['Back-office group', 'HR', 'Training programs']",BBA in Human Resources Ege University
Marketing specialist focusing on brand development and digital outreach campaigns.,Marketing Specialist AdWave Ltd. (5 years) Digital Outreach Coordinator BrandBoost (3 years),Brand Development Digital Outreach Marketing Strategies,"['Media and marketing group', 'Marketing', 'Brand development']",BSc in Marketing Boğaziçi University
Content marketer specializing in social media campaigns and SEO-driven content.,Content Marketer SocialBuzz Ltd. (5 years) SEO Analyst MarketPro (3 years),Social Media Campaigns SEO Audience Analytics,"['Media and marketing group', 'Content marketing', 'SEO']",BSc in Communication Koç University
System administrator specializing in Linux servers and network infrastructure.,System Administrator NetSecure Ltd. (5 years) Network Engineer TechGrid (3 years),Linux Servers Network Infrastructure System Security,"['Technical group', 'System administration', 'Linux']",BSc in Information Technology Middle East Technical University
Data engineer focusing on big data processing and database optimization.,Data Engineer DataFlow Ltd. (5 years) Database Administrator InfoTech (3 years),Big Data Processing Database Optimization Data Warehousing,"['Technical group', 'Data engineering', 'Database optimization']",MSc in Data Science Boğaziçi University
Logistics specialist focusing on freight optimization and supply chain analysis.,Logistics Specialist SmartChain Ltd. (5 years) Freight Manager GlobalSupply (3 years),Freight Optimization Supply Chain Analysis Vendor Relations,"['Industrial management group', 'Logistics', 'Supply chain']",BBA in Logistics Marmara University
Operations manager specializing in production planning and quality assurance.,Operations Manager LeanOps Ltd. (6 years) Production Planner EfficientManuf (3 years),Production Planning Quality Assurance Workflow Management,"['Industrial management group', 'Operations management', 'Quality assurance']",BSc in Industrial Engineering Middle East Technical University
Investment banker specializing in equity markets and financial advisory.,Investment Banker CapitalAdvisory Ltd. (6 years) Equity Analyst MarketPro (3 years),Equity Markets Financial Advisory Portfolio Management,"['Finance and banking group', 'Investment banking', 'Equity markets']",MBA in Finance Koç University
Credit analyst specializing in corporate loans and risk assessment.,Credit Analyst BankTrust Ltd. (5 years) Risk Officer SecureFinance (3 years),Corporate Loans Risk Assessment Credit Analysis,"['Finance and banking group', 'Credit analysis', 'Risk assessment']",BSc in Economics Marmara University
Civil engineer focusing on road construction and infrastructure development.,Civil Engineer UrbanBuild Ltd. (6 years) Infrastructure Planner CityStructures (3 years),Road Construction Infrastructure Development Project Planning,"['Field group', 'Civil engineering', 'Infrastructure']",BSc in Civil Engineering Boğaziçi University
Agricultural engineer specializing in crop management and sustainable farming.,Agricultural Engineer GreenFarms Ltd. (6 years) Crop Specialist AgriTech (3 years),Crop Management Sustainable Farming Soil Analysis,"['Field group', 'Agriculture', 'Sustainable farming']",BSc in Agricultural Engineering Ege University
Cloud engineer specializing in container orchestration and microservices architecture.,Cloud Engineer CloudTech Ltd. (6 years) Kubernetes Specialist DevOpsPro (3 years),Container Orchestration Microservices Architecture Cloud Platforms,"['IT group', 'Cloud engineering', 'Microservices']",BSc in Software Engineering Middle East Technical University
Full-stack developer specializing in Python-based web applications and REST APIs.,Full-stack Developer WebFlow Ltd. (5 years) Backend Developer TechCode (3 years),Python Django REST API Development,"['IT group', 'Full-stack development', 'Python']",BSc in Computer Science Boğaziçi University
Pediatric nurse specializing in neonatal care and family education.,Pediatric Nurse Children's Hospital (6 years) Neonatal Care Specialist HealthFirst (3 years),Neonatal Care Family Education Pediatric Support,"['Medical group', 'Nursing', 'Pediatrics']",BSc in Nursing Ege University
Medical technologist specializing in laboratory diagnostics and quality control.,Medical Technologist LabCare Ltd. (5 years) Quality Control Specialist HealthPro (3 years),Diagnostic Testing Lab Operations Quality Assurance,"['Medical group', 'Medical technology', 'Diagnostics']",BSc in Medical Technology Hacettepe University
Retail sales manager specializing in fashion brands and customer experience enhancement.,Sales Manager FashionPoint Ltd. (6 years) Customer Experience Officer StyleHub (3 years),Fashion Retail Customer Experience Team Leadership,"['Sales group', 'Retail sales', 'Fashion']",Diploma in Business Administration Ege University
Corporate sales executive focusing on B2B software solutions and client retention.,Corporate Sales Executive TechSales Ltd. (5 years) B2B Account Manager BizGrowth (3 years),B2B Sales Client Retention Software Solutions,"['Sales group', 'B2B sales', 'Software']",BBA in Marketing Koç University
Hotel manager specializing in front office operations and staff coordination.,Hotel Manager LuxuryStays Ltd. (6 years) Front Office Supervisor EliteHotels (3 years),Front Office Operations Staff Coordination Customer Service,"['Hospitality group', 'Hotel management', 'Front office']",BSc in Hospitality Management Akdeniz University
Event planner specializing in destination weddings and corporate meetings.,Event Planner GlobalEvents Ltd. (5 years) Event Coordinator ExpoWorld (3 years),Destination Weddings Corporate Events Vendor Management,"['Hospitality group', 'Event planning', 'Destination weddings']",Diploma in Event Management Ege University
Administrative coordinator focusing on meeting scheduling and operational logistics.,Administrative Coordinator BizOps Ltd. (5 years) Office Assistant SmartFlow (3 years),Meeting Scheduling Logistics Coordination Document Preparation,"['Back-office group', 'Administration', 'Logistics']",Diploma in Business Administration Marmara University
HR specialist specializing in recruitment and performance evaluations.,HR Specialist PeopleHub Ltd. (6 years) Recruitment Officer TalentCare (3 years),Recruitment Performance Evaluation Employee Relations,"['Back-office group', 'HR', 'Recruitment']",BBA in Human Resources Ege University
Digital marketing specialist focusing on PPC campaigns and brand awareness.,Digital Marketing Specialist AdSphere Ltd. (6 years) Brand Coordinator MarketEdge (3 years),PPC Campaigns Brand Awareness SEO,"['Media and marketing group', 'Digital marketing', 'PPC']",BSc in Marketing Boğaziçi University
Social media strategist focusing on engagement analytics and content creation.,Social Media Strategist BrandBoost Ltd. (5 years) Content Specialist SocialBuzz (3 years),Social Media Strategies Content Creation Audience Engagement,"['Media and marketing group', 'Social media', 'Content creation']",BSc in Communication Koç University
Supply chain manager specializing in inventory optimization and logistics planning.,Supply Chain Manager EcoSupply Ltd. (6 years) Logistics Planner SmartFlow (3 years),Inventory Optimization Logistics Planning Vendor Relations,"['Industrial management group', 'Supply chain', 'Logistics planning']",BBA in Logistics Anadolu University
Production engineer focusing on workflow optimization and quality control.,Production Engineer EfficientManuf Ltd. (5 years) Quality Control Specialist LeanOps (3 years),Workflow Optimization Quality Control Lean Manufacturing,"['Industrial management group', 'Production engineering', 'Quality control']",BSc in Industrial Engineering Middle East Technical University
Network engineer specializing in security protocols and cloud-based networking solutions.,Network Engineer NetSecure Ltd. (6 years) Cloud Networking Specialist CloudFlow (3 years),Security Protocols Cloud Networking Infrastructure Design,"['Technical group', 'Networking', 'Security protocols']",BSc in Computer Networking Boğaziçi University
AI researcher specializing in NLP models and ethical AI development.,AI Researcher AI Innovations Ltd. (5 years) NLP Developer LanguageTech (3 years),Natural Language Processing Ethical AI Model Optimization,"['Technical group', 'AI research', 'NLP']",MSc in Artificial Intelligence Boğaziçi University
Tourism officer specializing in luxury travel packages and customer service.,Tourism Officer LuxuryTravel Ltd. (6 years) Customer Relations Specialist WorldAdventures (3 years),Luxury Travel Customer Service Itinerary Planning,"['Hospitality group', 'Tourism', 'Luxury travel']",Diploma in Tourism Management Ege University
DevOps engineer specializing in Kubernetes and CI/CD pipeline automation.,DevOps Engineer CloudNet Ltd. (6 years) Infrastructure Specialist TechOps (3 years),Kubernetes CI/CD Pipelines Cloud Infrastructure,"['IT group', 'DevOps', 'Cloud engineering']",BSc in Software Engineering Middle East Technical University
Biomedical engineer specializing in medical device development and maintenance.,Biomedical Engineer MediTech Ltd. (6 years) Device Maintenance Specialist HealthCarePro (3 years),Medical Devices Maintenance Regulatory Compliance,"['Medical group', 'Biomedical engineering', 'Device maintenance']",BSc in Biomedical Engineering Hacettepe University
Administrative manager specializing in resource allocation and workflow optimization.,Administrative Manager BizOps Ltd. (6 years) Workflow Specialist OfficeFlow (3 years),Resource Allocation Workflow Optimization Administrative Support,"['Back-office group', 'Administration', 'Resource management']",Diploma in Business Administration Marmara University
Brand strategist specializing in digital branding and market penetration strategies.,Brand Strategist AdSphere Ltd. (6 years) Market Analyst MarketPro (3 years),Branding Digital Marketing Market Penetration,"['Media and marketing group', 'Brand strategy', 'Market analysis']",BSc in Marketing Boğaziçi University
Operations planner focusing on production scheduling and resource management.,Operations Planner LeanOps Ltd. (6 years) Production Scheduler EfficientManuf (3 years),Production Scheduling Resource Management Workflow Optimization,"['Industrial management group', 'Operations planning', 'Production scheduling']",BSc in Industrial Engineering Boğaziçi University
AI engineer specializing in reinforcement learning and model deployment.,AI Engineer AI Innovations Ltd. (6 years) Machine Learning Specialist DataFlow (3 years),Reinforcement Learning Model Deployment Deep Learning,"['Technical group', 'AI engineering', 'Model deployment']",MSc in Artificial Intelligence Middle East Technical University
Corporate financial advisor specializing in mergers and acquisitions.,Financial Advisor GlobalFinance Ltd. (6 years) M&A Analyst CapitalAdvisors (3 years),Mergers & Acquisitions Corporate Finance Financial Modeling,"['Finance and banking group', 'Corporate finance', 'Mergers & acquisitions']",MBA in Finance Koç University
Environmental engineer specializing in waste management and pollution control.,Environmental Engineer EcoSolutions Ltd. (5 years) Pollution Control Specialist GreenTech (3 years),Waste Management Pollution Control Sustainability Planning,"['Field group', 'Environmental engineering', 'Pollution control']",BSc in Environmental Engineering Ege University
Sales representative specializing in B2C consumer electronics and customer acquisition.,Sales Representative TechMart Ltd. (6 years) Customer Engagement Specialist RetailPro (3 years),Consumer Electronics Sales Customer Acquisition Lead Generation,"['Sales group', 'Consumer electronics', 'Customer acquisition']",BBA in Marketing Marmara University
